Feature,Mean P Value,P Values,Num_Relevant(10)
"value_norm__fft_coefficient__attr_""abs""__coeff_95",0.0009272073364456513,"[0.0016688357651013226, 0.0001855789077899799]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_96",0.00046957600625371904,"[0.0008603032841221961, 7.884872838524195e-05]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_97",0.0005596985424285595,"[0.000967701902465898, 0.00015169518239122103]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_98",0.0005997513451631973,"[0.0010259388333742115, 0.00017356385695218313]",2
"value_norm__fft_coefficient__attr_""abs""__coeff_99",0.0007104144733860155,"[0.0012928295661981453, 0.0001279993805738857]",2
"value_norm__fft_coefficient__attr_""angle""__coeff_1",0.0005479266756695064,"[5.5491786906916006e-05, 0.0009069923295560679, 0.0006812959105455353]",3
"value_norm__fft_coefficient__attr_""angle""__coeff_3",3.191741883384838e-05,"[1.4945159422440453e-06, 0.00011953594904352867, 2.0538781874612163e-06, 1.7209098670772098e-05, 1.9293652325235844e-05]",5
"value_norm__fft_coefficient__attr_""angle""__coeff_6",0.0001466483574156641,[0.0001466483574156641],1
"value_norm__fft_coefficient__attr_""imag""__coeff_1",0.00011920871839758484,"[2.9791505356990737e-06, 0.00023543828625947061]",2
"value_norm__fft_coefficient__attr_""imag""__coeff_2",0.0012206781564971037,[0.0012206781564971037],1
"value_norm__fft_coefficient__attr_""imag""__coeff_3",6.678413884184361e-05,"[2.9791505356990737e-06, 0.0003139803814106887, 2.5074512959686987e-07, 2.5074512959686987e-07, 1.6459672003636456e-05]",5
"value_norm__fft_coefficient__attr_""imag""__coeff_4",0.0002753388866873249,"[2.440519163721586e-05, 0.00030398115079119744, 0.0004976303176335613]",3
"value_norm__fft_coefficient__attr_""imag""__coeff_5",0.00015039741252666488,[0.00015039741252666488],1
"value_norm__fft_coefficient__attr_""imag""__coeff_6",1.4193640099917875e-05,[1.4193640099917875e-05],1
"value_norm__fft_coefficient__attr_""real""__coeff_2",0.00012194765807082768,[0.00012194765807082768],1
"value_norm__fft_coefficient__attr_""real""__coeff_5",0.0003066984294215472,[0.0003066984294215472],1
"value_norm__fft_coefficient__attr_""real""__coeff_7",0.0001408047306378031,"[8.403845940402944e-05, 0.0002191257942652319, 0.00011924993824414794]",3
value_norm__fourier_entropy__bins_100,0.00012533123410256457,[0.00012533123410256457],1
value_norm__fourier_entropy__bins_3,0.00016087469746571155,"[1.4210207231364527e-07, 0.0005963367147382033, 3.912860577870142e-05, 7.89136727362778e-06]",4
value_norm__index_mass_quantile__q_0.7,0.0011834891761018063,[0.0011834891761018063],1
value_norm__kurtosis,0.0001983399025940641,"[0.0002135174953001479, 0.0002702623734644718, 0.00011123983901757255]",3
value_norm__large_standard_deviation__r_0.35000000000000003,1.4100443387474305e-06,[1.4100443387474305e-06],1
value_norm__lempel_ziv_complexity__bins_3,0.0012745073214151127,[0.0012745073214151127],1
"value_norm__linear_trend__attr_""intercept""",0.00013551099526121137,"[2.1583723884657395e-06, 0.000268863618133957]",2
"value_norm__linear_trend__attr_""pvalue""",0.0007415992752906844,[0.0007415992752906844],1
"value_norm__linear_trend__attr_""rvalue""",0.00013551099526121137,"[2.1583723884657395e-06, 0.000268863618133957]",2
"value_norm__linear_trend__attr_""slope""",0.00013551099526121137,"[2.1583723884657395e-06, 0.000268863618133957]",2
"value_norm__linear_trend__attr_""stderr""",0.0007415992752906844,[0.0007415992752906844],1
value_norm__longest_strike_above_mean,2.6941723836661655e-05,"[8.494662861261892e-06, 2.3815634872123296e-06, 4.273998502926246e-06, 9.261667049524615e-05]",4
value_norm__maximum,0.0012562756848808886,[0.0012562756848808886],1
value_norm__mean_abs_change,5.034955807744179e-05,"[1.1780920728513485e-07, 0.00010058130694759845]",2
value_norm__mean_second_derivative_central,0.00043803298815159287,[0.00043803298815159287],1
value_norm__number_cwt_peaks__n_5,8.687512800939593e-06,"[1.5170834900960945e-05, 2.2041907009182415e-06]",2
value_norm__number_peaks__n_3,0.0006699543351568446,[0.0006699543351568446],1
