Feature,Mean P Value,P Values
value_norm__index_mass_quantile__q_0.1,0.0008667858671836764,[0.0008667858671836764]
value_norm__index_mass_quantile__q_0.2,6.006393791002456e-05,"[0.0001112417054117076, 6.5263913208863825e-06, 6.24237169974797e-05]"
value_norm__index_mass_quantile__q_0.3,0.0002779073024023832,"[0.00027468219960418864, 3.042658621385705e-05, 0.0005286131213891039]"
value_norm__index_mass_quantile__q_0.4,0.0004663878695230151,"[0.0007824177659467895, 0.00015035797309924072]"
value_norm__large_standard_deviation__r_0.25,0.0003868019713454273,"[0.00046337367291168004, 0.000145508078046036, 0.0005515241630785659]"
"value_norm__linear_trend__attr_""intercept""",0.0002258407439548426,"[0.00032136915833432987, 0.0007197640357000501, 1.3240309074919662e-06, 7.99844927224758e-05, 6.7620021098652125e-06]"
"value_norm__linear_trend__attr_""pvalue""",0.0002258407439548426,"[0.00032136915833432987, 0.0007197640357000501, 1.3240309074919662e-06, 7.99844927224758e-05, 6.7620021098652125e-06]"
"value_norm__linear_trend__attr_""rvalue""",0.0002258407439548426,"[0.00032136915833432987, 0.0007197640357000501, 1.3240309074919662e-06, 7.99844927224758e-05, 6.7620021098652125e-06]"
"value_norm__linear_trend__attr_""slope""",0.0002258407439548426,"[0.00032136915833432987, 0.0007197640357000501, 1.3240309074919662e-06, 7.99844927224758e-05, 6.7620021098652125e-06]"
"value_norm__linear_trend__attr_""stderr""",0.0002258407439548426,"[0.00032136915833432987, 0.0007197640357000501, 1.3240309074919662e-06, 7.99844927224758e-05, 6.7620021098652125e-06]"
value_norm__longest_strike_below_mean,0.00023301115084166455,"[4.6271743456072514e-05, 6.405202770767628e-06, 0.0006463565062981535]"
value_norm__partial_autocorrelation__lag_5,0.00041576069674602366,[0.00041576069674602366]
value_norm__quantile__q_0.1,0.00027985339806872793,"[6.60422504054702e-05, 0.0004936645457319856]"
