Feature,Mean P Value,P Values
value__ar_coefficient__coeff_1__k_10,0.0010507169624109944,[0.0010507169624109944]
value__ar_coefficient__coeff_2__k_10,0.0009821656572184649,"[0.0014476080728198192, 0.0005167232416171106]"
value__ar_coefficient__coeff_5__k_10,0.0009865255529222926,[0.0009865255529222926]
value__benford_correlation,1.110557737642011e-07,"[1.0472637120414613e-08, 7.80483484762243e-09, 8.740156782396474e-09, 6.310287017288261e-07, 1.802109079838737e-07, 1.7948720882483854e-08, 4.289387866571968e-09, 5.033009131749098e-08, 6.092068816629716e-08, 1.3881161094603368e-07]"
value__c3__lag_1,0.0010548683891302656,"[0.0016250549765801164, 0.0009442000506992093, 0.0005953501401114712]"
value__c3__lag_2,0.0008220771094313899,"[0.0012146887156840292, 0.0007497810212266539, 0.0005017615913834865]"
value__c3__lag_3,0.0009436741600502261,"[0.001079195331260481, 0.0007073599988266573, 0.00037564076088605534, 0.001612500549227711]"
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",0.0007350691021724938,[0.0007350691021724938]
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",0.000518459047322232,[0.000518459047322232]
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.00035749908741319127,"[0.00040326161098617217, 2.629771384106378e-05, 0.0015242490443590345, 3.360895719822643e-06, 3.0835864871367753e-06, 0.0002399790879449135, 0.00030226167255419594]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",0.00036381268564879,"[9.98756890633956e-05, 1.7997073012073733e-05, 1.0245774304069358e-05, 0.0015930164545352188, 9.792843732919265e-05]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",0.00016200775947099804,"[0.0003783424351933559, 1.335285595581468e-05, 0.0002286621450337301, 8.6907056714104e-05, 0.00018403605996265512, 5.043573898411401e-05, 0.0002843369408414956, 6.998884308271484e-05]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",6.566212825920526e-08,"[1.0472637120414613e-08, 2.8822889071235736e-08, 9.633257851246035e-09, 2.481886054002515e-07, 4.07457387411216e-08, 5.1419195341722874e-08, 1.7262696447160326e-08, 1.126451553935828e-07, 1.124360570599967e-07, 2.499505016532045e-08]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",6.815069740392967e-08,"[5.947931833620144e-08, 3.987533836545995e-09, 4.8368503065501056e-08, 1.397180363480912e-07, 7.876393198747602e-08, 1.107975750000043e-07, 5.180558538288055e-09, 2.4456316102381966e-08, 1.587330123769949e-07, 5.202218844781182e-08]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",3.420908858306399e-08,"[2.779011861595848e-08, 1.3540354089951309e-09, 2.2850814798903808e-08, 9.46765862449809e-08, 2.291282539728647e-08, 4.3245407539996635e-08, 4.289387866571968e-09, 2.4456316102381966e-08, 6.092068816629716e-08, 3.9594705689267343e-08]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",2.7095967066518833e-09,"[1.5199843322035753e-09, 5.470874312928451e-10, 1.3088570156873292e-09, 9.185663033875053e-09, 1.5199843322035753e-09, 4.668340787530142e-10, 5.047646543357112e-10, 9.44917728074153e-09, 1.460989045179658e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",2.493692964726753e-09,"[1.5199843322035753e-09, 4.940630034755131e-10, 1.3088570156873292e-09, 8.269168753376723e-09, 1.5199843322035753e-09, 4.2317831492751977e-10, 4.5671805462521374e-10, 8.488088656129379e-09, 1.3242613223921592e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",2.5898067826272504e-09,"[1.5199843322035753e-09, 4.4606595815783903e-10, 1.3088570156873292e-09, 8.269168753376723e-09, 1.5199843322035753e-09, 4.2317831492751977e-10, 5.047646543357112e-10, 9.44917728074153e-09, 1.3242613223921592e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",2.3376925023711027e-06,"[1.7383500143062017e-06, 4.752850175773106e-07, 1.3541026331604208e-06, 1.7959275081623907e-05, 1.5022271776851224e-07, 1.4894267856666157e-09, 4.5671805462521374e-10, 8.488088656129379e-09, 1.5917639162989113e-06, 9.749140947934081e-08]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",2.303635344882932e-09,"[1.5199843322035753e-09, 4.940630034755131e-10, 1.3088570156873292e-09, 7.441830098712278e-09, 1.5199843322035753e-09, 3.835164900715479e-10, 4.1314550012193317e-10, 7.622310505281462e-09, 1.2000363088255634e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",2.216918794605303e-09,"[1.5199843322035753e-09, 4.4606595815783903e-10, 1.3088570156873292e-09, 7.441830098712278e-09, 1.5199843322035753e-09, 3.835164900715479e-10, 3.7364008822032e-10, 6.8426474597244575e-09, 1.2000363088255634e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",2.1288988837098748e-09,"[1.5199843322035753e-09, 4.940630034755131e-10, 1.3088570156873292e-09, 6.695209610222007e-09, 1.5199843322035753e-09, 3.1477818686460655e-10, 3.7364008822032e-10, 6.8426474597244575e-09, 1.0871989462508233e-09, 1.132625862246542e-09]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",4.492707099263753e-06,"[6.398809496585656e-06, 4.8387840255370055e-06, 4.918146601469939e-06, 1.9451075012243494e-05, 4.808734777483949e-07, 5.148746301696029e-10, 3.7364008822032e-10, 6.8426474597244575e-09, 8.528751795400095e-06, 3.028994214748312e-07]"
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",0.0002446032616006938,"[0.0006255467997459086, 0.00014292915813465847, 0.0006357201043953059, 6.209317167155153e-05, 0.00040326161098617217, 1.425194598969214e-07, 2.4207608930213337e-09, 9.44917728074153e-09, 0.0003317241200745769]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",0.0002730068517908104,"[6.398809496585656e-06, 3.5849710404453335e-06, 8.767335668943686e-06, 0.00012650100639449195, 0.0005139143020328554, 0.0012214078398334522, 3.047369806889863e-05]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",0.00027237862329956765,"[4.265972719647249e-05, 0.0008916377868489033, 6.217263456985487e-06, 0.00018525194841127166, 2.0382899310326073e-05, 0.0012880182539884313, 4.4083282721499625e-05, 0.0001078443398958274, 0.0001178507485210237, 1.9839982644934742e-05]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",1.2396544701999923e-08,"[2.5504132279972214e-09, 2.7017994448228202e-09, 2.177298135043498e-09, 5.7808081678486176e-08, 4.70312199506445e-09, 4.19012540970783e-09, 2.1987710090706225e-09, 3.338523549651362e-08, 1.0872033556329554e-08, 3.378567066963436e-09]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",1.2173401067744856e-08,"[4.250004773381667e-09, 2.0124445037370712e-09, 3.5980909373839296e-09, 5.2328542492606573e-08, 6.362958658045673e-09, 6.6437478714167505e-09, 1.8126900401968901e-09, 2.4456316102381966e-08, 1.574163707152625e-08, 4.527578226771806e-09]"
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",1.272888993221769e-08,"[5.754678565967082e-09, 1.3540354089951309e-09, 4.848273268148549e-09, 5.2328542492606573e-08, 5.754678565967082e-09, 7.280322498533285e-09, 2.4207608930213337e-09, 2.7138413254714696e-08, 1.435567846292658e-08, 6.053515911296597e-09]"
